Sri Lanka,LKA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.645058188
Lower middle income,LMC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.441484095
Low & middle income,LMY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.081008919
Lesotho,LSO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.082394798
Late-demographic dividend,LTE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.81851603
Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.068082919
Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,21.81661811
Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.061872037
"Macao SAR, China",MAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
St. Martin (French part),MAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Morocco,MAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.659071914
Monaco,MCO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Moldova,MDA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.900589798
Madagascar,MDG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.08840922
Maldives,MDV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.624887212
Middle East & North Africa,MEA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.544072122
Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.110157155
Marshall Islands,MHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.483987154
Middle income,MIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.344808135
North Macedonia,MKD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.248166914
Mali,MLI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.184725562
Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.224246577
Myanmar,MMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.163633689
Middle East & North Africa (excluding high income),MNA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.764622823
Montenegro,MNE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.165132994
Mongolia,MNG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.26121897
Northern Mariana Islands,MNP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Mozambique,MOZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.115589412
Mauritania,MRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.59241028
Mauritius,MUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.92706334
Malawi,MWI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.071528746
Malaysia,MYS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.058628841
North America,NAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.26997425
Namibia,NAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.477197591
New Caledonia,NCL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Niger,NER,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.08321173
Nigeria,NGA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.572417455
Nicaragua,NIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.774374156
Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.30129048
Norway,NOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.561636831
Nepal,NPL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.171767832
Nauru,NRU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.996403237
New Zealand,NZL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.155170432
OECD members,OED,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.81994029
Oman,OMN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.27897193
Other small states,OSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.199949465
Pakistan,PAK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.78372735
Panama,PAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.52286016
Peru,PER,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.569880886
Philippines,PHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.889356818
Palau,PLW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.69655787
Papua New Guinea,PNG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.68668241
Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.247028333
Pre-demographic dividend,PRE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.49577619
Puerto Rico,PRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
"Korea, Dem. People's Rep.",PRK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.102747014
Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.817886902
Paraguay,PRY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.806655936
West Bank and Gaza,PSE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Pacific island small states,PSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.128918419
Post-demographic dividend,PST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.0309322
French Polynesia,PYF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Qatar,QAT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,33.54470032
Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.827751952
Russian Federation,RUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.08271541
Rwanda,RWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.056776652
South Asia,SAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.149821902
Saudi Arabia,SAU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,16.01774201
Sudan,SDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.459400595
Senegal,SEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.554497611
Singapore,SGP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.353799255
Solomon Islands,SLB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.644108961
Sierra Leone,SLE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.091962823
El Salvador,SLV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.057588953
San Marino,SMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Somalia,SOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.052308698
Serbia,SRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.399288151
Sub-Saharan Africa (excluding high income),SSA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.8143618
South Sudan,SSD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0
Sub-Saharan Africa,SSF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.814782471
Small states,SST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.781267922
Sao Tome and Principe,STP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.554409775
Suriname,SUR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.288441694
Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.575252419
Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.717529629
Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.132155401
Eswatini,SWZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.948498414
Sint Maarten (Dutch part),SXM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Seychelles,SYC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.901414727
Syrian Arab Republic,SYR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.794611371
Turks and Caicos Islands,TCA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Chad,TCD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.086177079
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.94149163
Europe & Central Asia (IDA & IBRD countries),TEC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.28917958
Togo,TGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.409550532
Thailand,THA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.505021026
Tajikistan,TJK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.321492277
Turkmenistan,TKM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.27533338
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.707055302
Timor-Leste,TLS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.219475326
Middle East & North Africa (IDA & IBRD countries),TMN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.782405671
Tonga,TON,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.154056991
South Asia (IDA & IBRD),TSA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.149821902
Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.814782471
